date,Tmax,Tmin,Tmean
01/01/1960,11.03,9.59,10.31
02/01/1960,7.5,4.45,5.97
03/01/1960,10.6,5.92,8.26
04/01/1960,11.71,5.81,8.76
05/01/1960,8.24,6.73,7.49
06/01/1960,6.16,-0.4,2.88
07/01/1960,1.7,-1.17,0.26
08/01/1960,3.72,-2.29,0.71
09/01/1960,1.38,-0.18,0.6
10/01/1960,3.26,-2.06,0.6
11/01/1960,5.96,-1.7,2.13
12/01/1960,1.32,-0.67,0.33
13/01/1960,-1.17,-2.29,-1.73
14/01/1960,0.06,-7,-3.47
15/01/1960,1.11,-3.4,-1.14
16/01/1960,2.76,-2.09,0.33
17/01/1960,2.82,-3.81,-0.49
18/01/1960,5.66,-2.33,1.66
19/01/1960,9.35,2.94,6.15
20/01/1960,3.92,1.19,2.56
21/01/1960,10.48,0.27,5.37
22/01/1960,11.48,2.5,6.99
23/01/1960,10.58,10.13,10.35
24/01/1960,10.48,7.55,9.02
25/01/1960,7.46,2.07,4.76
26/01/1960,4.35,-0.68,1.83
27/01/1960,5.28,0.15,2.71
28/01/1960,3.57,2.45,3.01
29/01/1960,7.71,1.49,4.6
30/01/1960,8.9,2.05,5.47
31/01/1960,9.47,7.38,8.43
01/02/1960,8.86,4.59,6.73
02/02/1960,9.51,3.99,6.75
03/02/1960,9.97,8.56,9.26
04/02/1960,7.28,4.6,5.94
05/02/1960,9.25,1.7,5.48
06/02/1960,6.87,-0.1,3.39
07/02/1960,4.5,2.08,3.29
08/02/1960,4.06,-2.36,0.85
09/02/1960,5.26,-0.19,2.53
10/02/1960,4,2.04,3.02
11/02/1960,1.52,0.78,1.15
12/02/1960,1.51,0.32,0.91
13/02/1960,1.13,-0.43,0.35
14/02/1960,4.09,-0.7,1.7
15/02/1960,4.23,-2.11,1.06
16/02/1960,4.41,-1.98,1.22
17/02/1960,4.33,-4.11,0.11
18/02/1960,5.5,-3.74,0.88
19/02/1960,6.07,-0.27,2.9
20/02/1960,9.71,2.25,5.98
21/02/1960,7.14,0.73,3.93
22/02/1960,4.66,0.33,2.49
23/02/1960,5.94,1.25,3.59
24/02/1960,7.14,-3.88,1.63
25/02/1960,8.44,1.3,4.87
26/02/1960,11.03,3.78,7.41
27/02/1960,12.27,5.49,8.88
28/02/1960,16.04,8.45,12.24
29/02/1960,14.05,10.06,12.05
01/03/1960,12.04,7.99,10.01
02/03/1960,11.51,8.38,9.94
03/03/1960,13.2,5.03,9.11
04/03/1960,10.53,2.08,6.31
05/03/1960,9.83,3.38,6.61
06/03/1960,7.7,3.12,5.41
07/03/1960,5.57,0.24,2.91
08/03/1960,2.33,0.12,1.22
09/03/1960,7.5,-0.59,3.46
10/03/1960,12.5,2.19,7.35
11/03/1960,10.85,5.69,8.27
12/03/1960,10.96,5.69,8.33
13/03/1960,10.34,6.27,8.3
14/03/1960,11.48,6.89,9.18
15/03/1960,13.24,7.59,10.41
16/03/1960,6.37,4.66,5.51
17/03/1960,4.43,3.38,3.91
18/03/1960,5.46,2.17,3.81
19/03/1960,7.53,2.81,5.17
20/03/1960,10.67,0.57,5.62
21/03/1960,10.13,0.76,5.44
22/03/1960,12.25,-0.54,5.85
23/03/1960,13.51,1.85,7.68
24/03/1960,15.01,2.39,8.7
25/03/1960,10.49,5.68,8.09
26/03/1960,8.09,3.44,5.76
27/03/1960,6.2,4.23,5.21
28/03/1960,6.7,2.69,4.69
29/03/1960,3.95,2.9,3.43
30/03/1960,6.13,2.47,4.3
31/03/1960,9.07,4.03,6.55
01/04/1960,11.12,-0.71,5.21
