date,subclutch_id,number_larvae
01/03/2024,f1.cold.cold,0
02/03/2024,f1.cold.cold,0
03/03/2025,f1.cold.cold,0
04/03/2025,f1.cold.cold,0
05/03/2025,f1.cold.cold,0
06/03/2025,f1.cold.cold,0
07/03/2025,f1.cold.cold,0
08/03/2025,f1.cold.cold,0
09/03/2025,f1.cold.cold,0
10/03/2025,f1.cold.cold,0
11/03/2025,f1.cold.cold,0
12/03/2025,f1.cold.cold,0
13/03/2025,f1.cold.cold,0
14/03/2025,f1.cold.cold,0
15/03/2025,f1.cold.cold,0
16/03/2025,f1.cold.cold,0
17/03/2025,f1.cold.cold,0
18/03/2025,f1.cold.cold,0
19/03/2025,f1.cold.cold,0
20/03/2025,f1.cold.cold,0
21/03/2025,f1.cold.cold,0
22/03/2025,f1.cold.cold,0
23/03/2025,f1.cold.cold,0
25/03/2025,f1.cold.cold,0
26/03/2025,f1.cold.cold,0
27/03/2025,f1.cold.cold,0
28/03/2025,f1.cold.cold,0
29/03/2025,f1.cold.cold,0
30/03/2025,f1.cold.cold,0
31/03/2025,f1.cold.cold,0
01/04/2025,f1.cold.cold,0
02/04/2025,f1.cold.cold,0
03/04/2025,f1.cold.cold,0
04/04/2025,f1.cold.cold,0
05/04/2025,f1.cold.cold,0
06/04/2025,f1.cold.cold,0
07/04/2025,f1.cold.cold,0
08/04/2025,f1.cold.cold,0
10/04/2025,f1.cold.cold,0
11/04/2025,f1.cold.cold,0
12/04/2025,f1.cold.cold,0
13/04/2025,f1.cold.cold,0
14/04/2025,f1.cold.cold,0
15/04/2025,f1.cold.cold,0
16/04/2025,f1.cold.cold,0
17/04/2025,f1.cold.cold,0
18/04/2025,f1.cold.cold,0
19/04/2025,f1.cold.cold,0
20/04/2025,f1.cold.cold,0
21/04/2025,f1.cold.cold,0
22/04/2025,f1.cold.cold,0
23/04/2025,f1.cold.cold,0
24/04/2025,f1.cold.cold,0
25/04/2025,f1.cold.cold,0
26/04/2025,f1.cold.cold,0
28/04/2025,f1.cold.cold,0
29/04/2025,f1.cold.cold,0
01/05/2025,f1.cold.cold,0
02/05/2025,f1.cold.cold,0
04/05/2025,f1.cold.cold,0
05/05/2025,f1.cold.cold,0
