subclutch_id,female_id,maternal_temperature_treatment,egg_temperature_treatment,clutch_id,source_tree_id,rearing_tree_id,translocation_treatment,sex,pupa_mass_mg,pupa_mass_g,exp_start_date,emergence_date,pupa_development_time,mate_id,start_cross_date,end_cross_date,days_crossed,first_egg_date,pre_oviposition_time,clutch_size,mate_order,first_egg_hatch_date
f1.cool.hot,f1.cool,cool,hot,o1b2,17484,20926,early,female,48.1,0.0481,2024-07-04,2024-11-08,127,m1.control,2024-11-15,2024-11-17,2,2024-11-17,9,185,1,2025-03-03
f4.control.hot,f4.control,ambient,hot,o4e2,14511,m1,early,female,28.3,0.0283,2024-07-04,2024-11-30,149,m4.control,2024-11-30,2024-12-03,3,2024-12-05,5,209,1,2025-03-13
f4.cool.hot,f4.cool,cool,hot,o3d4,20400,19377,match,female,22,0.022,2024-07-04,2024-11-18,137,m1.cool,2024-11-22,2024-11-24,2,2024-11-24,6,78,3,2025-03-13
f2.cool.hot,f2.cool,cool,hot,o1e10,17115,sw10,late,female,38.3,0.0383,2024-07-04,2024-11-16,135,m1.cool,2024-11-18,2024-11-20,2,2024-11-21,5,48,1,2025-03-14
f1.control.hot,f1.control,ambient,hot,o3a3,17307,20766,match,female,24.8,0.0248,2024-07-04,2024-11-30,149,m1.control,2024-11-30,2024-12-03,3,2024-12-03,3,255,1,2025-03-15
f5.cool.hot,f5.cool,cool,hot,o4a1,17863,20466,late,female,21.2,0.0212,2024-07-04,2024-11-20,139,m1.cool,2024-11-26,2024-11-28,2,2024-11-28,8,45,4,2025-03-18
f2.mean.hot,f2.mean,mean,hot,o3c8,18178,20926,early,female,36.7,0.0367,2024-07-04,2024-11-21,140,m1.mean,2024-11-21,2024-11-23,2,2024-11-28,7,144,1,2025-03-19
f6.mean.hot,f6.mean,mean,hot,o3c1,17484,20926,early,female,34.9,0.0349,2024-07-04,2024-12-10,159,m9.mean,2024-12-10,2024-12-13,3,2024-12-13,3,268,1,2025-03-19
f1.cool.warm,f1.cool,cool,warm,o1b2,17484,20926,early,female,48.1,0.0481,2024-07-04,2024-11-08,127,m1.control,2024-11-15,2024-11-17,2,2024-11-17,9,185,1,2025-03-22
f3.control.hot,f3.control,ambient,hot,o4b6,19864,20466,match,female,39,0.039,2024-07-04,2024-11-30,149,m3.control,2024-11-30,2024-12-03,3,2024-12-04,4,181,1,2025-03-23
f2.cool.warm,f2.cool,cool,warm,o1e10,17115,sw10,late,female,38.3,0.0383,2024-07-04,2024-11-16,135,m1.cool,2024-11-18,2024-11-20,2,2024-11-21,5,48,1,2025-03-25
f1.control.warm,f1.control,ambient,warm,o3a3,17307,20766,match,female,24.8,0.0248,2024-07-04,2024-11-30,149,m1.control,2024-11-30,2024-12-03,3,2024-12-03,3,255,1,2025-03-26
f1.cool.control,f1.cool,cool,ambient,o1b2,17484,20926,early,female,48.1,0.0481,2024-07-04,2024-11-08,127,m1.control,2024-11-15,2024-11-17,2,2024-11-17,9,185,1,2025-03-27
f4.cool.warm,f4.cool,cool,warm,o3d4,20400,19377,match,female,22,0.022,2024-07-04,2024-11-18,137,m1.cool,2024-11-22,2024-11-24,2,2024-11-24,6,78,3,2025-03-27
f5.control.hot,f5.control,ambient,hot,o3c1,17484,20926,early,female,34.7,0.0347,2024-07-04,2024-12-01,150,m4.control,2024-12-03,2024-12-06,3,2024-12-06,5,193,2,2025-03-27
f6.control.hot,f6.control,ambient,hot,o4e2,14511,m1,early,female,43.3,0.0433,2024-07-04,2024-12-06,155,m4.control,2024-12-06,2024-12-09,3,2024-12-11,5,27,3,2025-03-28
f1.hot.hot,f1.hot,hot,hot,o2d8,16682,sw11,match,female,38.1,0.0381,2024-07-04,2024-12-13,162,m1.hot,2024-12-17,2024-12-20,3,2024-12-19,6,221,1,2025-03-30
f1.warm.hot,f1.warm,warm,hot,o1a7,17307,20766,match,female,43.3,0.0433,2024-07-04,2024-12-06,155,m1.warm,2024-12-06,2024-12-09,3,2024-12-08,2,272,1,2025-03-30
f5.cool.control,f5.cool,cool,ambient,o4a1,17863,20466,late,female,21.2,0.0212,2024-07-04,2024-11-20,139,m1.cool,2024-11-26,2024-11-28,2,2024-11-28,8,45,4,2025-03-30
f1.control.control,f1.control,ambient,ambient,o3a3,17307,20766,match,female,24.8,0.0248,2024-07-04,2024-11-30,149,m1.control,2024-11-30,2024-12-03,3,2024-12-03,3,255,1,2025-03-31
f1.warm.warm,f1.warm,warm,warm,o1a7,17307,20766,match,female,43.3,0.0433,2024-07-04,2024-12-06,155,m1.warm,2024-12-06,2024-12-09,3,2024-12-08,2,272,1,2025-03-31
f4.control.warm,f4.control,ambient,warm,o4e2,14511,m1,early,female,28.3,0.0283,2024-07-04,2024-11-30,149,m4.control,2024-11-30,2024-12-03,3,2024-12-05,5,209,1,2025-03-31
f5.cool.warm,f5.cool,cool,warm,o4a1,17863,20466,late,female,21.2,0.0212,2024-07-04,2024-11-20,139,m1.cool,2024-11-26,2024-11-28,2,2024-11-28,8,45,4,2025-03-31
f2.cool.control,f2.cool,cool,ambient,o1e10,17115,sw10,late,female,38.3,0.0383,2024-07-04,2024-11-16,135,m1.cool,2024-11-18,2024-11-20,2,2024-11-21,5,48,1,2025-04-01
f4.control.control,f4.control,ambient,ambient,o4e2,14511,m1,early,female,28.3,0.0283,2024-07-04,2024-11-30,149,m4.control,2024-11-30,2024-12-03,3,2024-12-05,5,209,1,2025-04-01
f6.mean.warm,f6.mean,mean,warm,o3c1,17484,20926,early,female,34.9,0.0349,2024-07-04,2024-12-10,159,m9.mean,2024-12-10,2024-12-13,3,2024-12-13,3,268,1,2025-04-01
f7.cool.hot,f7.cool,cool,hot,o2e9,19872,14308,match,female,31.4,0.0314,2024-07-04,2024-12-26,175,m2.cool,2024-12-28,2024-12-31,3,2024-12-30,4,151,2,2025-04-02
f2.hot.hot,f2.hot,hot,hot,o4e2,14511,m1,early,female,33.9,0.0339,2024-07-04,2024-12-20,169,m2.hot,2024-12-21,2024-12-28,7,2024-12-29,9,78,1,2025-04-03
f2.mean.control,f2.mean,mean,ambient,o3c8,18178,20926,early,female,36.7,0.0367,2024-07-04,2024-11-21,140,m1.mean,2024-11-21,2024-11-23,2,2024-11-28,7,144,1,2025-04-03
f3.control.control,f3.control,ambient,ambient,o4b6,19864,20466,match,female,39,0.039,2024-07-04,2024-11-30,149,m3.control,2024-11-30,2024-12-03,3,2024-12-04,4,181,1,2025-04-03
f3.mean.hot,f3.mean,mean,hot,o2e9,19872,14308,match,female,43.7,0.0437,2024-07-04,2024-11-28,147,m9.mean,2024-12-20,2024-12-22,2,2024-12-28,30,186,2,2025-04-03
f4.warm.hot,f4.warm,warm,hot,o4c5,14291,sw10,late,female,30.7,0.0307,2024-07-04,2024-12-19,168,m2.warm,2024-12-19,2024-12-22,3,2024-12-29,10,131,2,2025-04-03
f5.mean.control,f5.mean,mean,ambient,o3d10,16091,sw10,late,female,26.1,0.0261,2024-07-04,2024-11-29,148,m2.mean,2024-11-29,2024-12-02,3,2024-12-03,4,14,1,2025-04-03
