"group_num","Date","jday","TwoHourGroup","treatment","temperature"
4,2025-01-08,8,0,"hot",6.63772822848139
4,2025-01-08,8,0,"warm",4.91247475986802
4,2025-01-08,8,0,"mean",2.32459455694798
4,2025-01-08,8,0,"cool",-0.263285645972063
4,2025-01-08,8,0,"cold",-1.98853911458543
4,2025-01-08,8,1,"hot",6.31416345471045
4,2025-01-08,8,1,"warm",4.58890998609709
4,2025-01-08,8,1,"mean",2.00102978317704
4,2025-01-08,8,1,"cool",-0.586850419742999
4,2025-01-08,8,1,"cold",-2.31210388835636
4,2025-01-08,8,2,"hot",6.04277299765793
4,2025-01-08,8,2,"warm",4.31751952904456
4,2025-01-08,8,2,"mean",1.72963932612452
4,2025-01-08,8,2,"cool",-0.858240876795524
4,2025-01-08,8,2,"cold",-2.58349434540889
4,2025-01-08,8,3,"hot",5.80902650497338
4,2025-01-08,8,3,"warm",4.08377303636002
4,2025-01-08,8,3,"mean",1.49589283343997
4,2025-01-08,8,3,"cool",-1.09198736948007
4,2025-01-08,8,3,"cold",-2.81724083809343
4,2025-01-08,8,4,"hot",6.45406044314194
4,2025-01-08,8,4,"warm",4.72880697452858
4,2025-01-08,8,4,"mean",2.14092677160853
4,2025-01-08,8,4,"cool",-0.446953431311508
4,2025-01-08,8,4,"cold",-2.17220689992487
4,2025-01-08,8,5,"hot",8.97193045533198
4,2025-01-08,8,5,"warm",7.24667698671862
4,2025-01-08,8,5,"mean",4.65879678379858
4,2025-01-08,8,5,"cool",2.07091658087853
4,2025-01-08,8,5,"cold",0.34566311226517
4,2025-01-08,8,6,"hot",10.6301849134764
4,2025-01-08,8,6,"warm",8.90493144486308
4,2025-01-08,8,6,"mean",6.31705124194304
4,2025-01-08,8,6,"cool",3.729171039023
4,2025-01-08,8,6,"cold",2.00391757040964
4,2025-01-08,8,7,"hot",10.985667951876
4,2025-01-08,8,7,"warm",9.26041448326267
4,2025-01-08,8,7,"mean",6.67253428034263
4,2025-01-08,8,7,"cool",4.08465407742259
4,2025-01-08,8,7,"cold",2.35940060880922
4,2025-01-08,8,8,"hot",9.85670196854011
4,2025-01-08,8,8,"warm",8.13144849992674
4,2025-01-08,8,8,"mean",5.5435682970067
4,2025-01-08,8,8,"cool",2.95568809408666
4,2025-01-08,8,8,"cold",1.2304346254733
4,2025-01-08,8,9,"hot",8.53899737292744
4,2025-01-08,8,9,"warm",6.81374390431408
4,2025-01-08,8,9,"mean",4.22586370139404
4,2025-01-08,8,9,"cool",1.63798349847399
4,2025-01-08,8,9,"cold",-0.0872699701393689
4,2025-01-08,8,10,"hot",7.864875460483
4,2025-01-08,8,10,"warm",6.13962199186964
4,2025-01-08,8,10,"mean",3.55174178894959
4,2025-01-08,8,10,"cool",0.963861586029552
4,2025-01-08,8,10,"cold",-0.761391882583811
4,2025-01-08,8,11,"hot",7.40600296368094
4,2025-01-08,8,11,"warm",5.68074949506758
4,2025-01-08,8,11,"mean",3.09286929214754
4,2025-01-08,8,11,"cool",0.504989089227493
4,2025-01-08,8,11,"cold",-1.22026437938587
5,2025-01-09,9,0,"hot",7.0130766145386
5,2025-01-09,9,0,"warm",5.28782314592524
5,2025-01-09,9,0,"mean",2.69994294300519
5,2025-01-09,9,0,"cool",0.112062740085149
5,2025-01-09,9,0,"cold",-1.61319072852821
5,2025-01-09,9,1,"hot",6.71042959663464
5,2025-01-09,9,1,"warm",4.98517612802128
5,2025-01-09,9,1,"mean",2.39729592510124
5,2025-01-09,9,1,"cool",-0.190584277818806
5,2025-01-09,9,1,"cold",-1.91583774643217
5,2025-01-09,9,2,"hot",6.4567004726799
5,2025-01-09,9,2,"warm",4.73144700406654
5,2025-01-09,9,2,"mean",2.1435668011465
5,2025-01-09,9,2,"cool",-0.444313401773546
5,2025-01-09,9,2,"cold",-2.16956687038691
5,2025-01-09,9,3,"hot",6.23823762895388
5,2025-01-09,9,3,"warm",4.51298416034052
5,2025-01-09,9,3,"mean",1.92510395742048
