pupa_id ,clutch_id,source_tree_id,rearing_tree_id,translocation_treatment ,substrate_treatment ,pupa_temperature_treatment,pupa_mass_mg,pupa_mass_g,pupa_outcome
106,o1a6,21184,m1,early,B,cold,42.8,0.0428,emerged
107,o1b2,17484,20926,early,C,cold,33.1,0.0331,unemerged viable
108,o1c1,17893,20390,match,D,cold,29.2,0.0292,unemerged viable
109,o1c7,17115,sw10,late,D,cold,24.8,0.0248,unemerged viable
110,o1d3,21184,m1,early,B,cold,28.9,0.0289,emerged
111,o1d6,14510,sw10,late,D,cold,34.9,0.0349,unemerged viable
112,o1d6,14510,sw10,late,C,cold,NA,NA,mouldy
113,o1d6,14510,sw4,match,B,cold,35.3,0.0353,unemerged viable
114,o1d8,16180,20766,match,B,cold,35.3,0.0353,unemerged viable
115,o1e2,17484,m1,early,D,cold,22.1,0.0221,unemerged viable
116,o2b7,16180,m1,early,A,cold,21.8,0.0218,unemerged viable
117,o2b8,14511,sw10,late,F,cold,NA,NA,mouldy
118,o2c1,14158,sw10,late,F,cold,22.6,0.0226,unemerged viable
119,o2d9,17893,m1,early,F,cold,20.5,0.0205,unemerged viable
120,o3b10,17307,20766,match,C,cold,NA,NA,mouldy
121,o3c8,18178,20926,early,C,cold,29.5,0.0295,emerged
122,o3d10,16091,sw10,late,E,cold,23.3,0.0233,unemerged not viable
123,o3d10,16091,sw3,match,F,cold,31.6,0.0316,unemerged viable
124,o3e2,16682,20926,early,A,cold,28.1,0.0281,unemerged viable
125,o3e8,17484,sw11,match,D,cold,36.2,0.0362,emerged
126,o4a1,17863,20466,late,B,cold,34.4,0.0344,emerged
127,o4a2,17893,sw10,late,F,cold,33.4,0.0334,unemerged viable
128,o4a5,19864,m1,early,D,cold,32.4,0.0324,unemerged fully developed moth
129,o4b8,17863,20466,late,A,cold,NA,NA,mouldy
130,o4c4,20400,19377,match,F,cold,NA,NA,mouldy
131,o4c4,20400,19377,match,F,cold,21.5,0.0215,unemerged viable
132,o4c5,14291,sw10,late,F,cold,30.7,0.0307,unemerged fully developed moth
133,o4d10,14158,sw10,late,C,cold,37.1,0.0371,emerged
134,o4d10,14158,sw10,late,F,cold,NA,NA,mouldy
135,o4d2,17893,20390,match,F,cold,16.2,0.0162,unemerged not viable
136,o4e1,18178,20265,late,F,cold,41.4,0.0414,unemerged viable
137,o4e2,14511,sw5,match,D,cold,28.1,0.0281,mouldy
138,o4e4,16682,sw10,late,C,cold,19.9,0.0199,unemerged viable
139,o4e4,16682,sw11,match,D,cold,28.3,0.0283,unemerged viable
