date,cold_raw,cold_rounded,cool_raw,cool_rounded,mean_raw,mean_rounded,warm_raw,warm_rounded,hot_raw,hot_rounded ,ambient_raw,ambient_rounded
04/07/2024,9.631548614,9.6,12.40787034,12.4,16.57235294,16.6,20.73683554,20.7,23.51315727,23.5,13.98,14
05/07/2024,10.96577081,11,13.32307033,13.3,16.85901961,16.9,20.39496889,20.4,22.7522684,22.8,12.28,12.3
06/07/2024,10.46686671,10.5,12.91164944,12.9,16.57882353,16.6,20.24599762,20.2,22.69078035,22.7,11.64,11.6
07/07/2024,10.85040086,10.9,13.23133855,13.2,16.8027451,16.8,20.37415164,20.4,22.75508934,22.8,14.61,14.6
08/07/2024,11.21156529,11.2,13.48591957,13.5,16.89745098,16.9,20.30898239,20.3,22.58333667,22.6,14.22,14.2
09/07/2024,10.70361739,10.7,13.09730769,13.1,16.68784314,16.7,20.27837859,20.3,22.67206889,22.7,16.35,16.4
10/07/2024,10.44530828,10.4,12.95612614,13,16.72235294,16.7,20.48857974,20.5,22.9993976,23,14.31,14.3
11/07/2024,10.73735297,10.7,13.24758825,13.2,17.01294118,17,20.7782941,20.8,23.28852938,23.3,17.21,17.2
12/07/2024,10.54531256,10.5,13.07746205,13.1,16.87568627,16.9,20.6739105,20.7,23.20605999,23.2,14.55,14.6
13/07/2024,10.87031402,10.9,13.34838449,13.3,17.0654902,17.1,20.7825959,20.8,23.26066637,23.3,14.02,14
14/07/2024,11.08325959,11.1,13.51662242,13.5,17.16666667,17.2,20.81671091,20.8,23.25007374,23.3,16.91,16.9
15/07/2024,10.16592658,10.2,12.9536736,13,17.13529412,17.1,21.31691464,21.3,24.10466165,24.1,13.95,14
16/07/2024,10.57784926,10.6,13.19235662,13.2,17.11411765,17.1,21.03587868,21,23.65038603,23.7,14.34,14.3
17/07/2024,10.75339527,10.8,13.27705677,13.3,17.06254902,17.1,20.84804127,20.8,23.37170277,23.4,19.27,19.3
18/07/2024,10.9384942,10.9,13.38466514,13.4,17.05392157,17.1,20.72317799,20.7,23.16934894,23.2,18.44,18.4
19/07/2024,10.99736968,11,13.53999043,13.5,17.35392157,17.4,21.1678527,21.2,23.71047346,23.7,22.47,22.5
20/07/2024,10.5950389,10.6,13.34800373,13.3,17.47745098,17.5,21.60689823,21.6,24.35986306,24.4,18.09,18.1
21/07/2024,10.93716857,10.9,13.41383055,13.4,17.12882353,17.1,20.84381651,20.8,23.32047849,23.3,17,17
22/07/2024,10.66164973,10.7,13.30169572,13.3,17.26176471,17.3,21.22183369,21.2,23.86187968,23.9,19.47,19.5
23/07/2024,11.20506631,11.2,13.70288292,13.7,17.44960784,17.4,21.19633277,21.2,23.69414938,23.7,18.09,18.1
